time,small,large,probability,intensity
0.0,1.0,0.0,0.51,0.2869
1.0,1.0,0.0,0.511,0.29061
2.0,1.0,0.0,0.509,0.28934
3.0,1.0,0.0,0.515,0.28912
4.0,1.0,0.0,0.52,0.29363
5.0,1.0,0.0,0.508,0.2886
6.0,1.0,0.0,0.507,0.28698
7.0,1.0,0.0,0.513,0.28866
8.0,1.0,0.0,0.525,0.29624
9.0,1.0,0.0,0.514,0.29058
10.0,1.0,0.0,0.495,0.28271
11.0,1.0,0.0,0.489,0.28119
12.0,1.0,0.0,0.525,0.30364
13.0,1.0,0.0,0.493,0.2808
14.0,1.0,0.0,0.502,0.28588
15.0,1.0,0.0,0.499,0.28303
16.0,1.0,0.0,0.511,0.29566
17.0,1.0,0.0,0.525,0.29895
18.0,1.0,0.0,0.509,0.29212
19.0,1.0,0.0,0.514,0.29589
20.0,1.0,0.0,0.519,0.29634
21.0,1.0,0.0,0.519,0.29926
22.0,1.0,0.0,0.524,0.29824
23.0,1.0,0.0,0.516,0.29386
24.0,1.0,0.0,0.52,0.29577
25.0,1.0,0.0,0.507,0.28978
26.0,1.0,0.0,0.504,0.29006
27.0,1.0,0.0,0.499,0.28927
28.0,1.0,0.0,0.508,0.29271
29.0,1.0,0.0,0.507,0.289
30.0,1.0,0.0,0.499,0.28519
31.0,1.0,0.0,0.494,0.28393
32.0,1.0,0.0,0.511,0.29504
33.0,1.0,0.0,0.522,0.30258
34.0,1.0,0.0,0.526,0.29921
35.0,1.0,0.0,0.508,0.29453
36.0,1.0,0.0,0.511,0.29583
37.0,1.0,0.0,0.524,0.29626
38.0,1.0,0.0,0.518,0.30013
39.0,1.0,0.0,0.523,0.29983
40.0,1.0,0.0,0.535,0.30904
41.0,1.0,0.0,0.52,0.30071
42.0,1.0,0.0,0.52,0.29876
43.0,1.0,0.0,0.511,0.29959
44.0,1.0,0.0,0.541,0.30853
45.0,1.0,0.0,0.515,0.29646
46.0,1.0,0.0,0.531,0.30388
47.0,1.0,0.0,0.527,0.3032
48.0,1.0,0.0,0.518,0.29888
49.0,1.0,0.0,0.521,0.29718
50.0,1.0,0.0,0.518,0.29936
51.0,1.0,0.0,0.522,0.30152
52.0,1.0,0.0,0.546,0.31571
53.0,1.0,0.0,0.54,0.31062
54.0,1.0,0.0,0.532,0.30191
55.0,1.0,0.0,0.533,0.30395
56.0,1.0,0.0,0.522,0.29594
57.0,1.0,0.0,0.514,0.29564
58.0,1.0,0.0,0.509,0.29158
59.0,1.0,0.0,0.53,0.30157
60.0,1.0,0.0,0.518,0.29226
61.0,1.0,0.0,0.537,0.3029
62.0,1.0,0.0,0.525,0.30117
63.0,1.0,0.0,0.536,0.30579
64.0,1.0,0.0,0.524,0.29788
65.0,1.0,0.0,0.523,0.29942
66.0,1.0,0.0,0.529,0.30559
67.0,1.0,0.0,0.519,0.29801
68.0,1.0,0.0,0.53,0.30276
69.0,1.0,0.0,0.513,0.29396
70.0,1.0,0.0,0.521,0.29809
71.0,1.0,0.0,0.511,0.29366
72.0,1.0,0.0,0.503,0.29124
73.0,1.0,0.0,0.517,0.29976
74.0,1.0,0.0,0.522,0.29837
75.0,1.0,0.0,0.513,0.29702
76.0,1.0,0.0,0.518,0.2958
77.0,1.0,0.0,0.517,0.29627
78.0,1.0,0.0,0.529,0.30459
79.0,1.0,0.0,0.529,0.30525
80.0,1.0,0.0,0.514,0.29474
81.0,1.0,0.0,0.524,0.30082
82.0,1.0,0.0,0.522,0.30085
83.0,1.0,0.0,0.516,0.29688
84.0,1.0,0.0,0.53,0.30529
85.0,1.0,0.0,0.533,0.30512
86.0,1.0,0.0,0.532,0.30729
87.0,1.0,0.0,0.534,0.30625
88.0,1.0,0.0,0.538,0.30745
89.0,1.0,0.0,0.523,0.29917
90.0,1.0,0.0,0.529,0.30135
91.0,1.0,0.0,0.542,0.30738
92.0,1.0,0.0,0.539,0.30657
93.0,1.0,0.0,0.543,0.30927
94.0,1.0,0.0,0.542,0.30715
95.0,1.0,0.0,0.522,0.30032
96.0,1.0,0.0,0.514,0.29259
97.0,1.0,0.0,0.533,0.30563
98.0,1.0,0.0,0.532,0.30108
99.0,1.0,0.0,0.541,0.30728
100.0,1.0,0.0,0.541,0.30659
101.0,1.0,0.0,0.526,0.30018
102.0,1.0,0.0,0.53,0.30042
103.0,1.0,0.0,0.523,0.29821
104.0,1.0,0.0,0.534,0.30297
105.0,1.0,0.0,0.538,0.3041
106.0,1.0,0.0,0.532,0.30631
107.0,1.0,0.0,0.538,0.30721
108.0,1.0,0.0,0.546,0.31303
109.0,1.0,0.0,0.534,0.30554
110.0,1.0,0.0,0.531,0.30231
111.0,1.0,0.0,0.528,0.29816
112.0,1.0,0.0,0.537,0.30794
113.0,1.0,0.0,0.545,0.31131
114.0,1.0,0.0,0.548,0.31492
115.0,1.0,0.0,0.536,0.30633
116.0,1.0,0.0,0.525,0.30315
117.0,1.0,0.0,0.526,0.30133
118.0,1.0,0.0,0.54,0.3075
119.0,1.0,0.0,0.541,0.31103
120.0,1.0,0.0,0.528,0.30205
121.0,1.0,0.0,0.519,0.29868
122.0,1.0,0.0,0.536,0.30435
123.0,1.0,0.0,0.529,0.30386
124.0,1.0,0.0,0.527,0.29965
125.0,1.0,0.0,0.531,0.30446
126.0,1.0,0.0,0.528,0.30441
127.0,1.0,0.0,0.529,0.30404
128.0,1.0,0.0,0.514,0.29636
129.0,1.0,0.0,0.517,0.30165
130.0,1.0,0.0,0.533,0.30651
131.0,1.0,0.0,0.515,0.29354
132.0,1.0,0.0,0.517,0.29688
133.0,1.0,0.0,0.538,0.30551
134.0,1.0,0.0,0.546,0.3119
135.0,1.0,0.0,0.544,0.30903
136.0,1.0,0.0,0.529,0.30001
137.0,1.0,0.0,0.537,0.30632
138.0,1.0,0.0,0.546,0.31017
139.0,1.0,0.0,0.543,0.30833
140.0,1.0,0.0,0.547,0.30952
141.0,1.0,0.0,0.55,0.30957
142.0,1.0,0.0,0.545,0.30884
143.0,1.0,0.0,0.545,0.30966
144.0,1.0,0.0,0.543,0.30726
145.0,1.0,0.0,0.551,0.31303
146.0,1.0,0.0,0.526,0.30462
147.0,1.0,0.0,0.517,0.29868
148.0,1.0,0.0,0.523,0.30088
149.0,1.0,0.0,0.526,0.30469
150.0,1.0,0.0,0.505,0.29405
151.0,1.0,0.0,0.519,0.29838
152.0,1.0,0.0,0.511,0.29246
153.0,1.0,0.0,0.523,0.29938
154.0,1.0,0.0,0.518,0.29383
155.0,1.0,0.0,0.521,0.29878
156.0,1.0,0.0,0.513,0.29271
157.0,1.0,0.0,0.525,0.30043
158.0,1.0,0.0,0.513,0.2928
159.0,1.0,0.0,0.529,0.30064
160.0,1.0,0.0,0.521,0.29384
161.0,1.0,0.0,0.522,0.29676
162.0,1.0,0.0,0.529,0.30038
163.0,1.0,0.0,0.531,0.30185
164.0,1.0,0.0,0.524,0.29532
165.0,1.0,0.0,0.532,0.30041
166.0,1.0,0.0,0.542,0.30704
167.0,1.0,0.0,0.539,0.30339
168.0,1.0,0.0,0.536,0.30208
169.0,1.0,0.0,0.535,0.30163
170.0,1.0,0.0,0.523,0.29508
171.0,1.0,0.0,0.534,0.30259
172.0,1.0,0.0,0.522,0.29638
173.0,1.0,0.0,0.53,0.29886
174.0,1.0,0.0,0.525,0.29668
175.0,1.0,0.0,0.524,0.29841
176.0,1.0,0.0,0.527,0.30056
177.0,1.0,0.0,0.516,0.29353
178.0,1.0,0.0,0.524,0.29978
179.0,1.0,0.0,0.537,0.30527
180.0,1.0,0.0,0.533,0.30262
181.0,1.0,0.0,0.535,0.30677
182.0,1.0,0.0,0.524,0.29945
183.0,1.0,0.0,0.516,0.29777
184.0,1.0,0.0,0.514,0.29507
185.0,1.0,0.0,0.511,0.29696
186.0,1.0,0.0,0.523,0.30302
187.0,1.0,0.0,0.527,0.30569
188.0,1.0,0.0,0.527,0.30231
189.0,1.0,0.0,0.522,0.30405
190.0,1.0,0.0,0.521,0.29909
191.0,1.0,0.0,0.514,0.29652
192.0,1.0,0.0,0.523,0.30193
193.0,1.0,0.0,0.532,0.3062
194.0,1.0,0.0,0.526,0.30686
195.0,1.0,0.0,0.529,0.30805
196.0,1.0,0.0,0.532,0.30419
197.0,1.0,0.0,0.511,0.30084
198.0,1.0,0.0,0.52,0.30599
199.0,1.0,0.0,0.534,0.30903
200.0,1.0,0.0,0.532,0.31028
201.0,1.0,0.0,0.529,0.31026
202.0,1.0,0.0,0.531,0.31048
203.0,1.0,0.0,0.533,0.30821
204.0,1.0,0.0,0.53,0.30805
205.0,1.0,0.0,0.546,0.31767
