time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.8410000205039978,0.10318,0.28418338
1.0,0.0,0.0,0.843999981880188,0.1015,0.27830976
2.0,0.0,0.0,0.8529999852180481,0.095,0.33496627
3.0,0.0,0.0,0.843999981880188,0.10126,0.28762668
4.0,0.0,0.0,0.8320000171661377,0.10897,0.2684046
5.0,0.0,0.0,0.8479999899864197,0.09848,0.30855754
6.0,0.0,0.0,0.8389999866485596,0.10464,0.28114647
7.0,0.0,0.0,0.8360000252723694,0.10652,0.28427944
8.0,0.0,0.0,0.8360000252723694,0.10644,0.27305645
9.0,0.0,0.0,0.8450000286102295,0.10035,0.30364645
10.0,0.0,0.0,0.8379999995231628,0.10452,0.3080881
11.0,0.0,0.0,0.8420000076293945,0.10287,0.28163746
12.0,0.0,0.0,0.8450000286102295,0.09938,0.34513208
13.0,0.0,0.0,0.8349999785423279,0.10599,0.30962604
14.0,0.0,0.0,0.8399999737739563,0.10425,0.27253395
15.0,0.0,0.0,0.8349999785423279,0.10685,0.27146026
16.0,0.0,0.0,0.8379999995231628,0.10518,0.2745462
17.0,0.0,0.0,0.8460000157356262,0.10003,0.30553865
18.0,0.0,0.0,0.8410000205039978,0.1037,0.2731741
19.0,0.0,0.0,0.8360000252723694,0.10575,0.3051696
20.0,0.0,0.0,0.8360000252723694,0.10644,0.2764841
21.0,0.0,0.0,0.8420000076293945,0.10262,0.28205997
22.0,0.0,0.0,0.8379999995231628,0.10396,0.3191918
23.0,0.0,0.0,0.8349999785423279,0.10708,0.280855
24.0,0.0,0.0,0.843999981880188,0.10116,0.3011466
25.0,0.0,0.0,0.8349999785423279,0.108,0.22722098
26.0,0.0,0.0,0.8360000252723694,0.10753,0.21969546
27.0,0.0,0.0,0.8529999852180481,0.09611,0.30416462
28.0,0.0,0.0,0.8420000076293945,0.10364,0.2519202
29.0,0.0,0.0,0.8360000252723694,0.10661,0.27536097
30.0,0.0,0.0,0.8489999771118164,0.09806,0.29774144
31.0,0.0,0.0,0.847000002861023,0.09956,0.2974638
32.0,0.0,0.0,0.8399999737739563,0.10406,0.2647079
33.0,0.0,0.0,0.8379999995231628,0.10556,0.2703875
34.0,0.0,0.0,0.8309999704360962,0.11041,0.23352724
35.0,0.0,0.0,0.8360000252723694,0.10779,0.22544871
36.0,0.0,0.0,0.8349999785423279,0.10682,0.27716953
37.0,0.0,0.0,0.8399999737739563,0.10374,0.28031245
38.0,0.0,0.0,0.8349999785423279,0.10796,0.23859504
39.0,0.0,0.0,0.8420000076293945,0.10279,0.287806
40.0,0.0,0.0,0.8299999833106995,0.11133,0.23208383
41.0,0.0,0.0,0.8209999799728394,0.11624,0.26200208
42.0,0.0,0.0,0.8259999752044678,0.11271,0.27212006
43.0,0.0,0.0,0.8420000076293945,0.10141,0.32710168
44.0,0.0,0.0,0.8389999866485596,0.10384,0.30170798
45.0,0.0,0.0,0.8289999961853027,0.11079,0.2782205
46.0,0.0,0.0,0.8240000009536743,0.11442,0.25463533
47.0,0.0,0.0,0.8299999833106995,0.10924,0.30101788
48.0,0.0,0.0,0.8460000157356262,0.09921,0.33036196
49.0,0.0,0.0,0.8539999723434448,0.09373,0.36291376
50.0,0.0,0.0,0.8420000076293945,0.10279,0.28157052
51.0,0.0,0.0,0.8420000076293945,0.10205,0.30931345
52.0,0.0,0.0,0.843999981880188,0.10087,0.30445588
53.0,0.0,0.0,0.8370000123977661,0.10522,0.29515183
54.0,0.0,0.0,0.8579999804496765,0.09191,0.35018325
55.0,0.0,0.0,0.8360000252723694,0.10589,0.28542596
56.0,0.0,0.0,0.8360000252723694,0.10614,0.27504212
57.0,0.0,0.0,0.8370000123977661,0.10556,0.28763208
58.0,0.0,0.0,0.8379999995231628,0.10481,0.28572485
59.0,0.0,0.0,0.8270000219345093,0.11093,0.3048109
60.0,0.0,0.0,0.843999981880188,0.10203,0.27395588
61.0,0.0,0.0,0.843999981880188,0.1006,0.32885838
62.0,0.0,0.0,0.8460000157356262,0.09981,0.3105076
63.0,0.0,0.0,0.8410000205039978,0.10319,0.29904243
64.0,0.0,0.0,0.8330000042915344,0.10837,0.2674824
65.0,0.0,0.0,0.8450000286102295,0.09994,0.33353415
66.0,0.0,0.0,0.8339999914169312,0.10802,0.2561539
67.0,0.0,0.0,0.8379999995231628,0.10565,0.25721818
68.0,0.0,0.0,0.8489999771118164,0.0984,0.2944972
69.0,0.0,0.0,0.8450000286102295,0.101,0.26882923
70.0,0.0,0.0,0.8410000205039978,0.10351,0.2614251
71.0,0.0,0.0,0.8460000157356262,0.10003,0.2982125
72.0,0.0,0.0,0.8339999914169312,0.10832,0.24857748
73.0,0.0,0.0,0.8330000042915344,0.10925,0.24359502
74.0,0.0,0.0,0.828000009059906,0.11237,0.23114496
75.0,0.0,0.0,0.8330000042915344,0.10821,0.2677927
76.0,0.0,0.0,0.8450000286102295,0.10136,0.2632697
77.0,0.0,0.0,0.8550000190734863,0.09377,0.3448503
78.0,0.0,0.0,0.8510000109672546,0.09772,0.27955627
79.0,0.0,0.0,0.843999981880188,0.09559,0.5595201
80.0,0.0,0.0,0.8489999771118164,0.09356,0.528289
81.0,0.0,0.0,0.8460000157356262,0.09574,0.5040872
82.0,0.0,0.0,0.8539999723434448,0.09138,0.48461777
83.0,0.0,0.0,0.847000002861023,0.09548,0.48671132
84.0,0.0,0.0,0.8489999771118164,0.0938,0.51290625
85.0,0.0,0.0,0.8610000014305115,0.08625,0.5451011
86.0,0.0,0.0,0.8429999947547913,0.09953,0.3831684
87.0,0.0,0.0,0.8360000252723694,0.10222,0.4696492
88.0,0.0,0.0,0.843999981880188,0.09777,0.44408435
89.0,0.0,0.0,0.8460000157356262,0.09672,0.44088277
90.0,0.0,0.0,0.8410000205039978,0.09932,0.46031603
91.0,0.0,0.0,0.8379999995231628,0.10087,0.47385877
92.0,0.0,0.0,0.8379999995231628,0.10134,0.44955567
93.0,0.0,0.0,0.8420000076293945,0.09937,0.43662456
94.0,0.0,0.0,0.781000018119812,0.15383,0.27659926
95.0,0.0,0.0,0.8009999990463257,0.13233,0.1929498
96.0,0.0,0.0,0.8130000233650208,0.12454,0.16333736
97.0,0.0,0.0,0.8140000104904175,0.12311,0.17539915
98.0,0.0,0.0,0.8050000071525574,0.13067,0.16483729
99.0,0.0,0.0,0.8169999718666077,0.12148,0.15512012
100.0,0.0,0.0,0.8149999976158142,0.12344,0.14343311
101.0,0.0,0.0,0.8090000152587891,0.12814,0.15354976
102.0,0.0,0.0,0.8059999942779541,0.12896,0.17495541
103.0,0.0,0.0,0.8019999861717224,0.13141,0.19856472
104.0,0.0,0.0,0.7900000214576721,0.14027,0.22403777
105.0,0.0,0.0,0.796999990940094,0.13589,0.19941193
