time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.8960000276565552,0.0631,0.20020595
1.0,0.0,0.0,0.9039999842643738,0.05795,0.13558282
2.0,0.0,0.0,0.906000018119812,0.05684,0.15797734
3.0,0.0,0.0,0.9079999923706056,0.05524,0.12910703
4.0,0.0,0.0,0.9110000133514404,0.05329,0.13823211
5.0,0.0,0.0,0.9049999713897704,0.05719,0.10332638
6.0,0.0,0.0,0.9110000133514404,0.05366,0.14056912
7.0,0.0,0.0,0.9100000262260436,0.05427,0.1360621
8.0,0.0,0.0,0.9139999747276306,0.05188,0.15672146
9.0,0.0,0.0,0.9089999794960022,0.05438,0.11932109
10.0,0.0,0.0,0.9110000133514404,0.05331,0.11955666
11.0,0.0,0.0,0.9100000262260436,0.05408,0.11431417
12.0,0.0,0.0,0.902999997138977,0.05774,0.08707586
13.0,0.0,0.0,0.9049999713897704,0.05705,0.13335672
14.0,0.0,0.0,0.9079999923706056,0.05567,0.13471505
15.0,0.0,0.0,0.9070000052452089,0.05613,0.11460917
16.0,0.0,0.0,0.8960000276565552,0.06259,0.12391913
17.0,0.0,0.0,0.906000018119812,0.05625,0.11389052
18.0,0.0,0.0,0.9010000228881836,0.05954,0.12793909
19.0,0.0,0.0,0.9010000228881836,0.0595,0.104807846
20.0,0.0,0.0,0.8999999761581421,0.06012,0.13117863
21.0,0.0,0.0,0.8930000066757202,0.06414,0.14765365
22.0,0.0,0.0,0.8949999809265137,0.06361,0.179295
23.0,0.0,0.0,0.8930000066757202,0.06444,0.1716705
24.0,0.0,0.0,0.8930000066757202,0.06466,0.16832714
25.0,0.0,0.0,0.8970000147819519,0.0618,0.13866733
26.0,0.0,0.0,0.8999999761581421,0.06078,0.1603994
27.0,0.0,0.0,0.8930000066757202,0.06493,0.18373784
28.0,0.0,0.0,0.8970000147819519,0.06203,0.16308597
29.0,0.0,0.0,0.8930000066757202,0.06454,0.16159925
30.0,0.0,0.0,0.8920000195503235,0.06548,0.21050622
31.0,0.0,0.0,0.8799999952316284,0.07289,0.26174033
32.0,0.0,0.0,0.8740000128746033,0.07612,0.2896904
33.0,0.0,0.0,0.8730000257492065,0.07634,0.28820845
34.0,0.0,0.0,0.8830000162124634,0.07087,0.23304355
35.0,0.0,0.0,0.871999979019165,0.07698,0.28871202
36.0,0.0,0.0,0.8679999709129333,0.07935,0.31639254
37.0,0.0,0.0,0.8740000128746033,0.07601,0.27458563
38.0,0.0,0.0,0.8679999709129333,0.07961,0.32081443
39.0,0.0,0.0,0.871999979019165,0.077,0.29734716
40.0,0.0,0.0,0.8769999742507935,0.07376,0.2457894
41.0,0.0,0.0,0.8600000143051147,0.08465,0.3814787
42.0,0.0,0.0,0.8730000257492065,0.07697,0.31086934
43.0,0.0,0.0,0.8709999918937683,0.07842,0.33346716
44.0,0.0,0.0,0.8690000176429749,0.07938,0.33685973
45.0,0.0,0.0,0.8529999852180481,0.08835,0.41259038
46.0,0.0,0.0,0.8629999756813049,0.08293,0.3719953
47.0,0.0,0.0,0.8579999804496765,0.08613,0.40622044
48.0,0.0,0.0,0.8600000143051147,0.08532,0.41590363
49.0,0.0,0.0,0.8529999852180481,0.08902,0.42639393
50.0,0.0,0.0,0.8519999980926514,0.08938,0.43794626
51.0,0.0,0.0,0.8619999885559082,0.08354,0.37367135
52.0,0.0,0.0,0.8600000143051147,0.0841,0.36470118
53.0,0.0,0.0,0.8550000190734863,0.08791,0.4279179
