time,small,large,probability,intensity
0.0,0.0,0.0,0.605,0.23412
1.0,0.0,0.0,0.602,0.2374
2.0,0.0,0.0,0.598,0.23801
3.0,0.0,0.0,0.592,0.24484
4.0,0.0,0.0,0.6,0.23251
5.0,0.0,0.0,0.58,0.23871
6.0,0.0,0.0,0.64,0.20463
7.0,0.0,0.0,0.654,0.19587
8.0,0.0,0.0,0.659,0.19429
9.0,0.0,0.0,0.665,0.18969
10.0,0.0,0.0,0.642,0.20376
11.0,0.0,0.0,0.626,0.21119
12.0,0.0,0.0,0.574,0.24087
13.0,0.0,0.0,0.472,0.32933
14.0,0.0,0.0,0.465,0.34251
15.0,0.0,0.0,0.461,0.34512
16.0,0.0,0.0,0.464,0.34263
17.0,0.0,0.0,0.462,0.34425
18.0,0.0,0.0,0.467,0.34142
19.0,0.0,0.0,0.476,0.33488
20.0,0.0,0.0,0.485,0.32609
21.0,0.0,0.0,0.519,0.30053
22.0,0.0,0.0,0.528,0.28898
23.0,0.0,0.0,0.541,0.27525
24.0,0.0,0.0,0.617,0.22387
25.0,0.0,0.0,0.631,0.20956
26.0,0.0,0.0,0.606,0.22906
27.0,0.0,0.0,0.612,0.22291
28.0,0.0,0.0,0.632,0.21055
29.0,0.0,0.0,0.64,0.20773
30.0,0.0,0.0,0.61,0.22481
31.0,0.0,0.0,0.65,0.20298
32.0,0.0,0.0,0.618,0.21898
33.0,0.0,0.0,0.601,0.22838
34.0,0.0,0.0,0.595,0.23399
35.0,0.0,0.0,0.575,0.25104
36.0,0.0,0.0,0.591,0.23472
37.0,0.0,0.0,0.59,0.23774
38.0,0.0,0.0,0.58,0.24252
39.0,0.0,0.0,0.595,0.23242
40.0,0.0,0.0,0.577,0.24634
41.0,0.0,0.0,0.572,0.24621
42.0,0.0,0.0,0.567,0.24614
43.0,0.0,0.0,0.57,0.2467
44.0,0.0,0.0,0.567,0.24766
45.0,0.0,0.0,0.568,0.24492
46.0,0.0,0.0,0.576,0.24133
47.0,0.0,0.0,0.624,0.21829
48.0,0.0,0.0,0.553,0.26852
49.0,0.0,0.0,0.471,0.32944
50.0,0.0,0.0,0.462,0.34106
51.0,0.0,0.0,0.478,0.33492
52.0,0.0,0.0,0.48,0.33237
53.0,0.0,0.0,0.477,0.33476
