time,small,large,probability,intensity
3.0,0.0,0.0,0.84,0.09146
4.0,0.0,0.0,0.841,0.09112
5.0,0.0,0.0,0.839,0.0921
6.0,0.0,0.0,0.839,0.09212
7.0,0.0,0.0,0.843,0.08984
8.0,0.0,0.0,0.84,0.09169
9.0,0.0,0.0,0.839,0.09211
10.0,0.0,0.0,0.844,0.08917
11.0,0.0,0.0,0.843,0.0901
12.0,0.0,0.0,0.835,0.09452
13.0,0.0,0.0,0.836,0.09438
14.0,0.0,0.0,0.837,0.09372
15.0,0.0,0.0,0.835,0.09471
16.0,0.0,0.0,0.839,0.09226
17.0,0.0,0.0,0.837,0.09347
18.0,0.0,0.0,0.841,0.09135
19.0,0.0,0.0,0.837,0.09378
20.0,0.0,0.0,0.838,0.09285
21.0,0.0,0.0,0.839,0.09213
22.0,0.0,0.0,0.842,0.09031
23.0,0.0,0.0,0.838,0.09324
24.0,0.0,0.0,0.833,0.09578
25.0,0.0,0.0,0.836,0.09394
26.0,0.0,0.0,0.837,0.09362
27.0,0.0,0.0,0.833,0.09598
28.0,0.0,0.0,0.84,0.09178
29.0,0.0,0.0,0.837,0.0935
30.0,0.0,0.0,0.84,0.09194
31.0,0.0,0.0,0.837,0.09332
32.0,0.0,0.0,0.838,0.09268
33.0,0.0,0.0,0.838,0.09285
34.0,0.0,0.0,0.842,0.09037
35.0,0.0,0.0,0.839,0.09216
36.0,0.0,0.0,0.839,0.09192
37.0,0.0,0.0,0.839,0.09243
38.0,0.0,0.0,0.839,0.09194
39.0,0.0,0.0,0.841,0.09107
40.0,0.0,0.0,0.84,0.0917
41.0,0.0,0.0,0.839,0.09207
42.0,0.0,0.0,0.842,0.09037
43.0,0.0,0.0,0.84,0.09177
44.0,0.0,0.0,0.839,0.09242
45.0,0.0,0.0,0.841,0.09147
46.0,0.0,0.0,0.841,0.09105
47.0,0.0,0.0,0.84,0.09162
48.0,0.0,0.0,0.84,0.09187
49.0,0.0,0.0,0.841,0.09118
50.0,0.0,0.0,0.84,0.09177
51.0,0.0,0.0,0.841,0.0913
52.0,0.0,0.0,0.841,0.09111
53.0,0.0,0.0,0.841,0.09145
54.0,0.0,0.0,0.838,0.09293
55.0,0.0,0.0,0.839,0.09261
56.0,0.0,0.0,0.839,0.09248
57.0,0.0,0.0,0.837,0.09343
58.0,0.0,0.0,0.841,0.09091
59.0,0.0,0.0,0.839,0.09235
60.0,0.0,0.0,0.84,0.09144
61.0,0.0,0.0,0.84,0.09209
62.0,0.0,0.0,0.839,0.09236
63.0,0.0,0.0,0.839,0.09251
64.0,0.0,0.0,0.839,0.09203
65.0,0.0,0.0,0.838,0.09284
66.0,0.0,0.0,0.843,0.09003
67.0,0.0,0.0,0.84,0.09161
68.0,0.0,0.0,0.842,0.09039
69.0,0.0,0.0,0.841,0.0911
70.0,0.0,0.0,0.841,0.09137
71.0,0.0,0.0,0.843,0.09009
72.0,0.0,0.0,0.843,0.0899
73.0,0.0,0.0,0.839,0.0926
74.0,0.0,0.0,0.843,0.08996
75.0,0.0,0.0,0.842,0.09087
76.0,0.0,0.0,0.842,0.09039
77.0,0.0,0.0,0.842,0.09096
78.0,0.0,0.0,0.841,0.09139
79.0,0.0,0.0,0.843,0.09022
80.0,0.0,0.0,0.843,0.09026
81.0,0.0,0.0,0.841,0.09133
82.0,0.0,0.0,0.842,0.09075
83.0,0.0,0.0,0.843,0.09008
84.0,0.0,0.0,0.838,0.0926
85.0,0.0,0.0,0.841,0.09117
86.0,0.0,0.0,0.841,0.09108
87.0,0.0,0.0,0.837,0.09363
88.0,0.0,0.0,0.84,0.09182
89.0,0.0,0.0,0.839,0.09209
90.0,0.0,0.0,0.841,0.09106
91.0,0.0,0.0,0.839,0.092
92.0,0.0,0.0,0.839,0.09229
93.0,0.0,0.0,0.835,0.09453
94.0,0.0,0.0,0.834,0.09545
95.0,0.0,0.0,0.833,0.09643
96.0,0.0,0.0,0.829,0.0982
97.0,0.0,0.0,0.833,0.09598
98.0,0.0,0.0,0.833,0.09575
99.0,0.0,0.0,0.831,0.09696
100.0,0.0,0.0,0.832,0.09662
101.0,0.0,0.0,0.833,0.09634
102.0,0.0,0.0,0.835,0.0949
103.0,0.0,0.0,0.833,0.09584
104.0,0.0,0.0,0.836,0.09443
105.0,0.0,0.0,0.834,0.09567
106.0,0.0,0.0,0.835,0.09473
107.0,0.0,0.0,0.832,0.09683
108.0,0.0,0.0,0.833,0.09599
109.0,0.0,0.0,0.836,0.09471
110.0,0.0,0.0,0.839,0.09288
111.0,0.0,0.0,0.835,0.09516
112.0,0.0,0.0,0.838,0.09327
113.0,0.0,0.0,0.838,0.09327
114.0,0.0,0.0,0.835,0.09519
115.0,0.0,0.0,0.833,0.09616
116.0,0.0,0.0,0.834,0.09532
117.0,0.0,0.0,0.834,0.09556
118.0,0.0,0.0,0.837,0.0935
119.0,0.0,0.0,0.835,0.09478
120.0,0.0,0.0,0.839,0.09237
121.0,0.0,0.0,0.838,0.09325
122.0,0.0,0.0,0.841,0.09096
123.0,0.0,0.0,0.836,0.09461
124.0,0.0,0.0,0.838,0.09303
125.0,0.0,0.0,0.839,0.0925
126.0,0.0,0.0,0.837,0.094
127.0,0.0,0.0,0.836,0.09434
128.0,0.0,0.0,0.833,0.09593
129.0,0.0,0.0,0.829,0.09824
130.0,0.0,0.0,0.83,0.09808
131.0,0.0,0.0,0.83,0.09776
132.0,0.0,0.0,0.827,0.09969
133.0,0.0,0.0,0.825,0.10082
134.0,0.0,0.0,0.824,0.10169
135.0,0.0,0.0,0.825,0.1012
136.0,0.0,0.0,0.828,0.09922
137.0,0.0,0.0,0.826,0.10031
138.0,0.0,0.0,0.827,0.09987
139.0,0.0,0.0,0.825,0.10059
140.0,0.0,0.0,0.826,0.10018
141.0,0.0,0.0,0.825,0.10116
142.0,0.0,0.0,0.83,0.09801
143.0,0.0,0.0,0.829,0.09846
144.0,0.0,0.0,0.827,0.09961
145.0,0.0,0.0,0.827,0.09997
146.0,0.0,0.0,0.827,0.09974
147.0,0.0,0.0,0.826,0.10027
148.0,0.0,0.0,0.828,0.09905
149.0,0.0,0.0,0.825,0.10113
150.0,0.0,0.0,0.827,0.09992
151.0,0.0,0.0,0.826,0.10049
152.0,0.0,0.0,0.826,0.10026
153.0,0.0,0.0,0.825,0.10086
154.0,0.0,0.0,0.826,0.10035
155.0,0.0,0.0,0.825,0.10082
156.0,0.0,0.0,0.828,0.09913
157.0,0.0,0.0,0.828,0.09904
158.0,0.0,0.0,0.831,0.09767
159.0,0.0,0.0,0.828,0.09947
160.0,0.0,0.0,0.83,0.09827
161.0,0.0,0.0,0.829,0.09863
162.0,0.0,0.0,0.83,0.09809
163.0,0.0,0.0,0.827,0.09948
164.0,0.0,0.0,0.824,0.10151
165.0,0.0,0.0,0.826,0.10029
166.0,0.0,0.0,0.825,0.10091
167.0,0.0,0.0,0.829,0.0983
168.0,0.0,0.0,0.828,0.09884
169.0,0.0,0.0,0.829,0.09831
170.0,0.0,0.0,0.829,0.09832
171.0,0.0,0.0,0.829,0.09836
172.0,0.0,0.0,0.829,0.09865
173.0,0.0,0.0,0.831,0.09703
174.0,0.0,0.0,0.833,0.09622
175.0,0.0,0.0,0.829,0.09855
176.0,0.0,0.0,0.829,0.09825
177.0,0.0,0.0,0.828,0.09904
178.0,0.0,0.0,0.831,0.0974
179.0,0.0,0.0,0.829,0.09841
180.0,0.0,0.0,0.833,0.09612
181.0,0.0,0.0,0.833,0.09611
182.0,0.0,0.0,0.833,0.09628
183.0,0.0,0.0,0.829,0.09863
184.0,0.0,0.0,0.83,0.09764
