time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.625,0.20305,1.044557
1.0,1.0,0.0,0.5059999823570251,0.2954,0.71657395
2.0,0.0,0.0,0.5899999737739563,0.22538,0.80898243
3.0,0.0,0.0,0.7039999961853027,0.16273,1.1681691
4.0,0.0,0.0,0.6639999747276306,0.18831,0.920895
5.0,0.0,0.0,0.4869999885559082,0.27156,1.0040118
6.0,0.0,0.0,0.6779999732971191,0.17123,1.4115987
7.0,0.0,0.0,0.5299999713897705,0.24931,1.0527743
8.0,0.0,0.0,0.640999972820282,0.19034,1.3249145
9.0,0.0,0.0,0.6959999799728394,0.16252,1.3809913
10.0,0.0,0.0,0.7070000171661377,0.15643,1.4345543
11.0,0.0,0.0,0.7269999980926514,0.14488,1.5692589
12.0,0.0,0.0,0.7279999852180481,0.14479,1.5512259
13.0,0.0,0.0,0.7009999752044678,0.15887,1.4771632
14.0,0.0,0.0,0.7210000157356262,0.14805,1.5554818
15.0,0.0,0.0,0.7129999995231628,0.15299,1.4937476
16.0,0.0,0.0,0.6959999799728394,0.16194,1.4348155
17.0,0.0,0.0,0.6990000009536743,0.16071,1.4272557
18.0,0.0,0.0,0.6919999718666077,0.16423,1.4183221
19.0,0.0,0.0,0.6970000267028809,0.16227,1.3943754
20.0,0.0,0.0,0.671999990940094,0.17524,1.3233205
21.0,0.0,0.0,0.6869999766349792,0.16632,1.4276258
22.0,0.0,0.0,0.6990000009536743,0.16132,1.3847638
23.0,0.0,0.0,0.7009999752044678,0.1596,1.4246504
24.0,0.0,0.0,0.7070000171661377,0.15582,1.4951602
25.0,0.0,0.0,0.7160000205039978,0.15208,1.4404048
26.0,0.0,0.0,0.7229999899864197,0.14799,1.4996558
27.0,0.0,0.0,0.7080000042915344,0.15556,1.4874177
28.0,0.0,0.0,0.7059999704360962,0.15698,1.4569985
29.0,0.0,0.0,0.6620000004768372,0.18041,1.3227687
30.0,0.0,0.0,0.7020000219345093,0.15887,1.4536533
31.0,0.0,0.0,0.703000009059906,0.15811,1.4646066
32.0,0.0,0.0,0.6830000281333923,0.16961,1.3397274
33.0,0.0,0.0,0.6449999809265137,0.18993,1.2374752
34.0,0.0,0.0,0.6850000023841858,0.16819,1.3785759
