time,small,large,probability,intensity
3.0,1.0,0.0,0.483,0.29393
4.0,1.0,0.0,0.477,0.29839
5.0,1.0,0.0,0.48,0.29819
6.0,1.0,0.0,0.483,0.296
7.0,1.0,0.0,0.482,0.29469
8.0,1.0,0.0,0.485,0.29592
9.0,1.0,0.0,0.495,0.2933
10.0,1.0,0.0,0.492,0.29033
11.0,1.0,0.0,0.488,0.29492
12.0,1.0,0.0,0.485,0.29305
13.0,1.0,0.0,0.489,0.29838
14.0,1.0,0.0,0.482,0.29486
15.0,1.0,0.0,0.48,0.29669
16.0,1.0,0.0,0.479,0.29788
17.0,1.0,0.0,0.479,0.3018
18.0,1.0,0.0,0.48,0.29852
19.0,1.0,0.0,0.477,0.30136
20.0,1.0,0.0,0.478,0.29787
21.0,1.0,0.0,0.483,0.29973
22.0,1.0,0.0,0.483,0.2959
23.0,1.0,0.0,0.479,0.29972
24.0,1.0,0.0,0.479,0.29618
25.0,1.0,0.0,0.474,0.29754
26.0,1.0,0.0,0.476,0.29466
27.0,1.0,0.0,0.478,0.29622
28.0,1.0,0.0,0.48,0.30045
29.0,1.0,0.0,0.475,0.29682
30.0,1.0,0.0,0.48,0.29617
31.0,1.0,0.0,0.476,0.29847
32.0,1.0,0.0,0.481,0.29972
33.0,1.0,0.0,0.477,0.30076
34.0,1.0,0.0,0.475,0.30019
35.0,1.0,0.0,0.476,0.30424
36.0,1.0,0.0,0.473,0.30422
37.0,1.0,0.0,0.478,0.3035
38.0,1.0,0.0,0.48,0.30274
39.0,1.0,0.0,0.479,0.30265
40.0,1.0,0.0,0.48,0.30197
41.0,1.0,0.0,0.477,0.30296
42.0,1.0,0.0,0.476,0.2997
43.0,1.0,0.0,0.477,0.3002
44.0,1.0,0.0,0.482,0.30062
45.0,1.0,0.0,0.479,0.30549
46.0,1.0,0.0,0.479,0.30093
47.0,1.0,0.0,0.479,0.30279
48.0,1.0,0.0,0.476,0.29818
49.0,1.0,0.0,0.477,0.3006
50.0,1.0,0.0,0.473,0.29777
