time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.7950000166893005,0.11183,0.18266387
1.0,0.0,0.0,0.7710000276565552,0.12616,0.23979111
2.0,0.0,0.0,0.7950000166893005,0.11175,0.15557127
3.0,0.0,0.0,0.7919999957084656,0.11392,0.20541501
4.0,0.0,0.0,0.7689999938011169,0.1274,0.28959113
5.0,0.0,0.0,0.7919999957084656,0.11595,0.3332742
6.0,0.0,0.0,0.7979999780654907,0.11076,0.20145218
7.0,0.0,0.0,0.7889999747276306,0.11618,0.22153206
8.0,0.0,0.0,0.8040000200271606,0.10814,0.27168235
9.0,0.0,0.0,0.7900000214576721,0.11706,0.32357886
10.0,0.0,0.0,0.7919999957084656,0.11531,0.2988643
11.0,0.0,0.0,0.7670000195503235,0.12841,0.25004593
12.0,0.0,0.0,0.796999990940094,0.11014,0.14281851
13.0,0.0,0.0,0.7910000085830688,0.11433,0.19507849
14.0,0.0,0.0,0.8029999732971191,0.10868,0.26577052
15.0,0.0,0.0,0.8040000200271606,0.1072,0.198852
16.0,0.0,0.0,0.8040000200271606,0.107,0.19383715
17.0,0.0,0.0,0.8460000157356262,0.08475,0.3868091
18.0,0.0,0.0,0.8169999718666077,0.0997,0.23875211
19.0,0.0,0.0,0.8230000138282776,0.09747,0.289518
20.0,0.0,0.0,0.8029999732971191,0.10889,0.26221892
21.0,0.0,0.0,0.800000011920929,0.10951,0.18555348
22.0,0.0,0.0,0.8080000281333923,0.10487,0.21470287
23.0,0.0,0.0,0.8130000233650208,0.10254,0.2508775
24.0,0.0,0.0,0.8019999861717224,0.10785,0.1823025
25.0,0.0,0.0,0.7879999876022339,0.1147,0.09834065
26.0,0.0,0.0,0.7990000247955322,0.10955,0.15823664
27.0,0.0,0.0,0.7799999713897705,0.11947,0.12454801
28.0,0.0,0.0,0.8050000071525574,0.10672,0.19588377
29.0,0.0,0.0,0.7860000133514404,0.11743,0.19780737
30.0,0.0,0.0,0.7730000019073486,0.12378,0.14603353
31.0,0.0,0.0,0.8140000104904175,0.10101,0.21047983
32.0,0.0,0.0,0.7860000133514404,0.11675,0.16587739
33.0,0.0,0.0,0.7910000085830688,0.11337,0.11543226
34.0,0.0,0.0,0.8019999861717224,0.10812,0.20050398
35.0,0.0,0.0,0.824999988079071,0.0946,0.2732313
36.0,0.0,0.0,0.7850000262260437,0.11683,0.124006815
37.0,0.0,0.0,0.7900000214576721,0.11403,0.11216669
38.0,0.0,0.0,0.7879999876022339,0.11529,0.12217231
39.0,0.0,0.0,0.7960000038146973,0.11082,0.138111
40.0,0.0,0.0,0.8040000200271606,0.106,0.16310509
41.0,0.0,0.0,0.7889999747276306,0.11473,0.14456344
42.0,0.0,0.0,0.7829999923706055,0.1174,0.097365126
43.0,0.0,0.0,0.7749999761581421,0.12208,0.08811056
44.0,0.0,0.0,0.7799999713897705,0.11919,0.10657717
45.0,0.0,0.0,0.746999979019165,0.13738,0.16216387
46.0,0.0,0.0,0.7179999947547913,0.15268,0.25082922
47.0,0.0,0.0,0.7950000166893005,0.11073,0.12266387
48.0,0.0,0.0,0.7480000257492065,0.13562,0.09223851
49.0,0.0,0.0,0.7400000095367432,0.14259,0.30846417
50.0,0.0,0.0,0.7900000214576721,0.11469,0.18799567
51.0,0.0,0.0,0.7990000247955322,0.11083,0.24600726
52.0,0.0,0.0,0.800000011920929,0.11023,0.23443486
53.0,0.0,0.0,0.8009999990463257,0.10986,0.26262733
54.0,0.0,0.0,0.796999990940094,0.11261,0.29496142
55.0,0.0,0.0,0.8149999976158142,0.1012,0.25115564
56.0,0.0,0.0,0.7850000262260437,0.11844,0.2532501
57.0,0.0,0.0,0.8100000023841858,0.10421,0.24393296
58.0,0.0,0.0,0.8080000281333923,0.10588,0.26835597
59.0,0.0,0.0,0.7950000166893005,0.11393,0.31752065
60.0,0.0,0.0,0.7950000166893005,0.11266,0.22827846
61.0,0.0,0.0,0.7639999985694885,0.13013,0.27023852
62.0,0.0,0.0,0.7549999952316284,0.13373,0.22180873
