time,small,large,probability,intensity
3.0,0.0,0.0,0.851,0.08533
4.0,0.0,0.0,0.855,0.08318
5.0,0.0,0.0,0.852,0.08508
6.0,0.0,0.0,0.85,0.08598
7.0,0.0,0.0,0.848,0.0873
8.0,0.0,0.0,0.847,0.08762
9.0,0.0,0.0,0.855,0.08284
10.0,0.0,0.0,0.853,0.08391
11.0,0.0,0.0,0.849,0.08675
12.0,0.0,0.0,0.853,0.08401
13.0,0.0,0.0,0.848,0.08677
14.0,0.0,0.0,0.853,0.08441
15.0,0.0,0.0,0.855,0.0831
16.0,0.0,0.0,0.854,0.08365
17.0,0.0,0.0,0.857,0.08164
18.0,0.0,0.0,0.853,0.08433
19.0,0.0,0.0,0.857,0.08195
20.0,0.0,0.0,0.857,0.08195
21.0,0.0,0.0,0.856,0.08267
22.0,0.0,0.0,0.858,0.08137
23.0,0.0,0.0,0.856,0.08279
24.0,0.0,0.0,0.858,0.0815
25.0,0.0,0.0,0.857,0.08175
26.0,0.0,0.0,0.854,0.08348
27.0,0.0,0.0,0.855,0.08298
28.0,0.0,0.0,0.858,0.08127
29.0,0.0,0.0,0.861,0.07977
30.0,0.0,0.0,0.858,0.0815
31.0,0.0,0.0,0.856,0.08278
32.0,0.0,0.0,0.857,0.08199
33.0,0.0,0.0,0.857,0.08163
34.0,0.0,0.0,0.853,0.08408
35.0,0.0,0.0,0.859,0.08113
36.0,0.0,0.0,0.851,0.08544
37.0,0.0,0.0,0.853,0.084
38.0,0.0,0.0,0.857,0.08177
39.0,0.0,0.0,0.857,0.08212
40.0,0.0,0.0,0.854,0.08406
41.0,0.0,0.0,0.856,0.0824
42.0,0.0,0.0,0.853,0.08457
43.0,0.0,0.0,0.853,0.08401
44.0,0.0,0.0,0.855,0.0832
45.0,0.0,0.0,0.853,0.0843
46.0,0.0,0.0,0.856,0.08226
47.0,0.0,0.0,0.852,0.08447
48.0,0.0,0.0,0.854,0.08373
49.0,0.0,0.0,0.852,0.08449
50.0,0.0,0.0,0.851,0.08525
51.0,0.0,0.0,0.85,0.08564
52.0,0.0,0.0,0.853,0.08414
53.0,0.0,0.0,0.854,0.08345
54.0,0.0,0.0,0.853,0.0844
55.0,0.0,0.0,0.856,0.08249
56.0,0.0,0.0,0.858,0.08137
57.0,0.0,0.0,0.85,0.08586
58.0,0.0,0.0,0.85,0.08595
59.0,0.0,0.0,0.85,0.0858
60.0,0.0,0.0,0.853,0.08424
61.0,0.0,0.0,0.85,0.08562
62.0,0.0,0.0,0.848,0.08705
63.0,0.0,0.0,0.847,0.0878
64.0,0.0,0.0,0.844,0.08884
65.0,0.0,0.0,0.85,0.08549
66.0,0.0,0.0,0.852,0.08477
67.0,0.0,0.0,0.851,0.08552
