time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.7799999713897705,0.13427,0.575655
1.0,0.0,0.0,0.7770000100135803,0.13845,0.6159572
2.0,0.0,0.0,0.7900000214576721,0.12808,0.5299422
3.0,0.0,0.0,0.7799999713897705,0.13309,0.56798863
4.0,0.0,0.0,0.7649999856948853,0.14434,0.6546999
5.0,0.0,0.0,0.7820000052452087,0.13282,0.56361085
6.0,0.0,0.0,0.7919999957084656,0.12399,0.5022254
7.0,0.0,0.0,0.7799999713897705,0.1363,0.6004772
8.0,0.0,0.0,0.7799999713897705,0.13218,0.55977726
9.0,0.0,0.0,0.7639999985694885,0.14427,0.6504114
10.0,0.0,0.0,0.781000018119812,0.13409,0.5770456
11.0,0.0,0.0,0.7459999918937683,0.15273,0.70930684
12.0,0.0,0.0,0.7730000019073486,0.13789,0.6028699
13.0,0.0,0.0,0.8019999861717224,0.12138,0.4759302
14.0,0.0,0.0,0.7459999918937683,0.15203,0.70576274
15.0,0.0,0.0,0.7799999713897705,0.13656,0.6005366
16.0,0.0,0.0,0.7770000100135803,0.13576,0.5874878
17.0,0.0,0.0,0.7770000100135803,0.1363,0.59136325
18.0,0.0,0.0,0.7829999923706055,0.13075,0.5481561
19.0,0.0,0.0,0.8199999928474426,0.1112,0.3934821
20.0,0.0,0.0,0.7680000066757202,0.14124,0.6284719
21.0,0.0,0.0,0.7390000224113464,0.16183,0.7803595
22.0,0.0,0.0,0.7210000157356262,0.16983,0.8258301
23.0,0.0,0.0,0.7799999713897705,0.13302,0.56313086
24.0,0.0,0.0,0.7789999842643738,0.13534,0.5847989
25.0,0.0,0.0,0.7829999923706055,0.13116,0.548187
26.0,0.0,0.0,0.7689999938011169,0.13911,0.6103783
27.0,0.0,0.0,0.7450000047683716,0.15404,0.7194544
28.0,0.0,0.0,0.7720000147819519,0.13968,0.6162329
29.0,0.0,0.0,0.796999990940094,0.12196,0.47894284
30.0,0.0,0.0,0.7829999923706055,0.13019,0.54566735
31.0,0.0,0.0,0.7639999985694885,0.14129,0.63132024
32.0,0.0,0.0,0.7749999761581421,0.13576,0.5861443
33.0,0.0,0.0,0.8339999914169312,0.09724,0.33183497
34.0,0.0,0.0,0.8650000095367432,0.0845,0.1616452
35.0,0.0,0.0,0.8339999914169312,0.10157,0.2923882
36.0,0.0,0.0,0.8360000252723694,0.10097,0.28928834
37.0,0.0,0.0,0.8080000281333923,0.11784,0.4373105
38.0,0.0,0.0,0.8029999732971191,0.11958,0.4595224
39.0,0.0,0.0,0.8489999771118164,0.09494,0.2661412
40.0,0.0,0.0,0.8209999799728394,0.11071,0.3839436
41.0,0.0,0.0,0.8309999704360962,0.1054,0.3431351
42.0,0.0,0.0,0.8040000200271606,0.11491,0.4522068
43.0,0.0,0.0,0.765999972820282,0.13849,0.614829
44.0,0.0,0.0,0.7289999723434448,0.16206,0.77397853
45.0,0.0,0.0,0.7620000243186951,0.13967,0.6412856
46.0,0.0,0.0,0.765999972820282,0.14862,0.73462987
47.0,0.0,0.0,0.9010000228881836,0.0605,0.21684185
48.0,0.0,0.0,0.753000020980835,0.15858,0.7932912
49.0,0.0,0.0,0.7609999775886536,0.13987,0.6368302
50.0,0.0,0.0,0.5709999799728394,0.26175,1.3676732
51.0,0.0,0.0,0.6380000114440918,0.22236,1.1515231
52.0,0.0,0.0,0.906000018119812,0.05498,0.4429607
53.0,0.0,0.0,0.8899999856948853,0.06887,0.1360359
54.0,0.0,0.0,0.8830000162124634,0.07291,0.10589322
55.0,0.0,0.0,0.5759999752044678,0.24981,1.3028812
56.0,0.0,0.0,0.921999990940094,0.04751,0.42987126
57.0,0.0,0.0,0.890999972820282,0.06716,0.1347161
58.0,0.0,0.0,0.912999987602234,0.0538,0.3093565
59.0,0.0,0.0,0.8610000014305115,0.08766,0.20081493
60.0,0.0,0.0,0.8759999871253967,0.07584,0.02285173
61.0,0.0,0.0,0.8799999952316284,0.07467,0.054317564
62.0,0.0,0.0,0.878000020980835,0.0751,0.0
63.0,0.0,0.0,0.875,0.07773,0.08081859
64.0,0.0,0.0,0.8970000147819519,0.06108,0.28036448
65.0,0.0,0.0,0.8769999742507935,0.07592,0.017793082
66.0,0.0,0.0,0.8709999918937683,0.08073,0.12260922
67.0,0.0,0.0,0.8730000257492065,0.07537,0.20360422
68.0,0.0,0.0,0.8769999742507935,0.07457,0.060991473
69.0,0.0,0.0,0.8700000047683716,0.07886,0.064411946
70.0,0.0,0.0,0.8849999904632568,0.06827,0.21548349
71.0,0.0,0.0,0.8539999723434448,0.08875,0.16051175
72.0,0.0,0.0,0.8840000033378601,0.07043,0.09486189
73.0,0.0,0.0,0.875,0.07661,0.034509894
74.0,0.0,0.0,0.8529999852180481,0.09041,0.17800072
75.0,0.0,0.0,0.8450000286102295,0.09595,0.2356707
76.0,0.0,0.0,0.8690000176429749,0.07999,0.062906034
77.0,0.0,0.0,0.8289999961853027,0.10594,0.33366716
78.0,0.0,0.0,0.8059999942779541,0.11829,0.43680713
79.0,0.0,0.0,0.871999979019165,0.078,0.05037454
80.0,0.0,0.0,0.8980000019073486,0.05441,1.1161072
81.0,0.0,0.0,0.9139999747276306,0.0468,1.0798146
82.0,0.0,0.0,0.9179999828338624,0.04479,0.9705511
83.0,0.0,0.0,0.8920000195503235,0.05845,0.944096
84.0,0.0,0.0,0.8980000019073486,0.05567,0.8725827
85.0,0.0,0.0,0.9100000262260436,0.04883,1.0487819
86.0,0.0,0.0,0.8980000019073486,0.05445,1.1014372
87.0,0.0,0.0,0.902999997138977,0.05207,1.1427481
88.0,0.0,0.0,0.9039999842643738,0.052,0.97486037
89.0,0.0,0.0,0.9179999828338624,0.04456,1.009914
90.0,0.0,0.0,0.9160000085830688,0.04889,0.52890337
91.0,0.0,0.0,0.9089999794960022,0.04981,0.9047959
92.0,0.0,0.0,0.9020000100135804,0.05256,1.0941377
93.0,0.0,0.0,0.8970000147819519,0.05558,1.0540569
94.0,0.0,0.0,0.8560000061988831,0.08189,0.447142
95.0,0.0,0.0,0.8370000123977661,0.08817,0.8643107
96.0,0.0,0.0,0.8669999837875366,0.07342,0.7199224
97.0,0.0,0.0,0.8769999742507935,0.06691,0.8922024
98.0,0.0,0.0,0.8809999823570251,0.06379,1.0127681
99.0,0.0,0.0,0.9100000262260436,0.0494,0.95252186
100.0,0.0,0.0,0.8949999809265137,0.0564,1.1076393
101.0,0.0,0.0,0.781000018119812,0.12988,0.54373634
102.0,0.0,0.0,0.8180000185966492,0.11009,0.36860305
103.0,0.0,0.0,0.8190000057220459,0.10017,0.6762853
104.0,0.0,0.0,0.8579999804496765,0.07744,0.8088213
105.0,0.0,0.0,0.8109999895095825,0.11432,0.40978393
106.0,0.0,0.0,0.7870000004768372,0.13163,0.55895996
