time,small,large,probability,intensity
3.0,0.0,0.0,0.866,0.07571
4.0,0.0,0.0,0.865,0.07625
5.0,0.0,0.0,0.865,0.07627
6.0,0.0,0.0,0.867,0.075
7.0,0.0,0.0,0.864,0.07704
8.0,0.0,0.0,0.866,0.07564
9.0,0.0,0.0,0.866,0.07555
10.0,0.0,0.0,0.868,0.07478
11.0,0.0,0.0,0.866,0.07556
12.0,0.0,0.0,0.868,0.07476
13.0,0.0,0.0,0.866,0.07564
14.0,0.0,0.0,0.865,0.076
15.0,0.0,0.0,0.854,0.08226
16.0,0.0,0.0,0.858,0.08014
17.0,0.0,0.0,0.856,0.08081
18.0,0.0,0.0,0.857,0.08073
19.0,0.0,0.0,0.855,0.08154
20.0,0.0,0.0,0.851,0.08352
21.0,0.0,0.0,0.854,0.08207
22.0,0.0,0.0,0.853,0.08232
23.0,0.0,0.0,0.856,0.08105
24.0,0.0,0.0,0.858,0.07998
25.0,0.0,0.0,0.856,0.08067
26.0,0.0,0.0,0.86,0.0786
27.0,0.0,0.0,0.856,0.08092
28.0,0.0,0.0,0.858,0.08004
29.0,0.0,0.0,0.857,0.0802
30.0,0.0,0.0,0.859,0.07953
31.0,0.0,0.0,0.859,0.07955
32.0,0.0,0.0,0.859,0.07942
33.0,0.0,0.0,0.861,0.07851
34.0,0.0,0.0,0.859,0.07908
35.0,0.0,0.0,0.859,0.0794
36.0,0.0,0.0,0.861,0.07826
37.0,0.0,0.0,0.861,0.07859
38.0,0.0,0.0,0.861,0.0782
39.0,0.0,0.0,0.862,0.07802
40.0,0.0,0.0,0.86,0.07903
41.0,0.0,0.0,0.861,0.07811
42.0,0.0,0.0,0.863,0.0775
43.0,0.0,0.0,0.86,0.07882
44.0,0.0,0.0,0.857,0.08049
45.0,0.0,0.0,0.858,0.07976
46.0,0.0,0.0,0.852,0.08312
47.0,0.0,0.0,0.859,0.07971
48.0,0.0,0.0,0.858,0.07968
49.0,0.0,0.0,0.855,0.08152
50.0,0.0,0.0,0.857,0.08057
51.0,0.0,0.0,0.856,0.08123
52.0,0.0,0.0,0.854,0.08194
53.0,0.0,0.0,0.855,0.08176
54.0,0.0,0.0,0.858,0.0801
55.0,0.0,0.0,0.856,0.08106
56.0,0.0,0.0,0.857,0.08054
57.0,0.0,0.0,0.859,0.07928
58.0,0.0,0.0,0.855,0.08154
59.0,0.0,0.0,0.854,0.08201
60.0,0.0,0.0,0.854,0.08227
61.0,0.0,0.0,0.853,0.08271
62.0,0.0,0.0,0.854,0.08194
63.0,0.0,0.0,0.85,0.08428
64.0,0.0,0.0,0.85,0.08405
65.0,0.0,0.0,0.852,0.08319
66.0,0.0,0.0,0.85,0.08434
67.0,0.0,0.0,0.85,0.0845
68.0,0.0,0.0,0.849,0.08484
69.0,0.0,0.0,0.841,0.08968
70.0,0.0,0.0,0.857,0.0802
71.0,0.0,0.0,0.858,0.07947
72.0,0.0,0.0,0.84,0.08949
73.0,0.0,0.0,0.84,0.0896
74.0,0.0,0.0,0.839,0.09009
75.0,0.0,0.0,0.843,0.08825
76.0,0.0,0.0,0.84,0.08945
77.0,0.0,0.0,0.842,0.08858
78.0,0.0,0.0,0.842,0.08831
79.0,0.0,0.0,0.844,0.08761
80.0,0.0,0.0,0.845,0.08709
81.0,0.0,0.0,0.845,0.08699
82.0,0.0,0.0,0.844,0.08727
83.0,0.0,0.0,0.839,0.09029
84.0,0.0,0.0,0.856,0.08063
85.0,0.0,0.0,0.856,0.08067
86.0,0.0,0.0,0.854,0.08172
87.0,0.0,0.0,0.854,0.08157
88.0,0.0,0.0,0.862,0.07742
89.0,0.0,0.0,0.858,0.08005
90.0,0.0,0.0,0.856,0.08119
91.0,0.0,0.0,0.857,0.08056
92.0,0.0,0.0,0.856,0.08091
93.0,0.0,0.0,0.855,0.08177
94.0,0.0,0.0,0.856,0.08116
95.0,0.0,0.0,0.86,0.07888
96.0,0.0,0.0,0.858,0.08018
97.0,0.0,0.0,0.859,0.07943
98.0,0.0,0.0,0.861,0.0783
99.0,0.0,0.0,0.865,0.07645
100.0,0.0,0.0,0.863,0.07744
101.0,0.0,0.0,0.863,0.0774
102.0,0.0,0.0,0.864,0.0767
103.0,0.0,0.0,0.861,0.07832
104.0,0.0,0.0,0.858,0.08015
105.0,0.0,0.0,0.854,0.08226
106.0,0.0,0.0,0.857,0.0805
107.0,0.0,0.0,0.857,0.07967
108.0,0.0,0.0,0.854,0.08196
109.0,0.0,0.0,0.852,0.0828
110.0,0.0,0.0,0.852,0.08303
111.0,0.0,0.0,0.853,0.08255
112.0,0.0,0.0,0.858,0.07981
113.0,0.0,0.0,0.852,0.08319
114.0,0.0,0.0,0.851,0.08364
115.0,0.0,0.0,0.85,0.08388
116.0,0.0,0.0,0.855,0.08155
117.0,0.0,0.0,0.855,0.08154
118.0,0.0,0.0,0.853,0.08245
119.0,0.0,0.0,0.853,0.08255
120.0,0.0,0.0,0.855,0.08134
121.0,0.0,0.0,0.857,0.08059
122.0,0.0,0.0,0.859,0.07906
123.0,0.0,0.0,0.861,0.07802
124.0,0.0,0.0,0.861,0.07838
