time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.8790000081062317,0.06639,0.19613978
1.0,0.0,0.0,0.8859999775886536,0.06301,0.094198644
2.0,0.0,0.0,0.8730000257492065,0.07016,0.16678593
3.0,0.0,0.0,0.8690000176429749,0.07287,0.19498225
4.0,0.0,0.0,0.8690000176429749,0.07325,0.19994843
5.0,0.0,0.0,0.8799999952316284,0.0665,0.14557095
6.0,0.0,0.0,0.8809999823570251,0.06547,0.14588654
7.0,0.0,0.0,0.8790000081062317,0.06701,0.123895764
8.0,0.0,0.0,0.8840000033378601,0.0641,0.124251015
9.0,0.0,0.0,0.8790000081062317,0.06775,0.1312522
10.0,0.0,0.0,0.8690000176429749,0.07218,0.19504085
11.0,0.0,0.0,0.8840000033378601,0.06423,0.11862966
12.0,0.0,0.0,0.8889999985694885,0.06155,0.12092711
13.0,0.0,0.0,0.8859999775886536,0.06324,0.07716706
14.0,0.0,0.0,0.8870000243186951,0.06233,0.1285615
15.0,0.0,0.0,0.8840000033378601,0.06423,0.12094306
16.0,0.0,0.0,0.8870000243186951,0.06269,0.12011818
17.0,0.0,0.0,0.8709999918937683,0.07161,0.18287548
18.0,0.0,0.0,0.871999979019165,0.0711,0.17315616
19.0,0.0,0.0,0.8880000114440918,0.06222,0.09334839
20.0,0.0,0.0,0.871999979019165,0.07087,0.17955054
21.0,0.0,0.0,0.8889999985694885,0.06123,0.11113778
22.0,0.0,0.0,0.871999979019165,0.07111,0.17918618
23.0,0.0,0.0,0.875,0.06922,0.1676141
24.0,0.0,0.0,0.8870000243186951,0.06256,0.07794687
25.0,0.0,0.0,0.8790000081062317,0.06733,0.13153213
26.0,0.0,0.0,0.8820000290870667,0.06558,0.11223443
27.0,0.0,0.0,0.8849999904632568,0.06381,0.11015521
28.0,0.0,0.0,0.8849999904632568,0.06371,0.12510166
29.0,0.0,0.0,0.878000020980835,0.06759,0.14560679
30.0,0.0,0.0,0.8809999823570251,0.06605,0.12253286
31.0,0.0,0.0,0.8790000081062317,0.06768,0.1296826
32.0,0.0,0.0,0.8809999823570251,0.06619,0.1156966
33.0,0.0,0.0,0.8889999985694885,0.06167,0.074203655
34.0,0.0,0.0,0.8880000114440918,0.06183,0.11108968
