time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.8500000238418579,0.09765,0.27568534
1.0,0.0,0.0,0.847000002861023,0.09976,0.30283734
2.0,0.0,0.0,0.8489999771118164,0.09784,0.2765606
3.0,0.0,0.0,0.8510000109672546,0.09681,0.27308533
4.0,0.0,0.0,0.8450000286102295,0.10107,0.30858287
5.0,0.0,0.0,0.8519999980926514,0.09684,0.27480686
6.0,0.0,0.0,0.8479999899864197,0.0982,0.27795628
7.0,0.0,0.0,0.8529999852180481,0.09575,0.2597175
8.0,0.0,0.0,0.8450000286102295,0.1004,0.3006198
9.0,0.0,0.0,0.8450000286102295,0.10127,0.3175253
10.0,0.0,0.0,0.8450000286102295,0.10126,0.31362352
11.0,0.0,0.0,0.8420000076293945,0.10309,0.3319241
12.0,0.0,0.0,0.8360000252723694,0.10666,0.3620074
13.0,0.0,0.0,0.8529999852180481,0.0957,0.26475316
14.0,0.0,0.0,0.847000002861023,0.09926,0.28949296
15.0,0.0,0.0,0.8479999899864197,0.09864,0.2859501
16.0,0.0,0.0,0.8539999723434448,0.09485,0.24985363
17.0,0.0,0.0,0.8529999852180481,0.09593,0.2675692
18.0,0.0,0.0,0.8529999852180481,0.09579,0.26264015
19.0,0.0,0.0,0.8479999899864197,0.09866,0.2882799
20.0,0.0,0.0,0.847000002861023,0.09909,0.28857303
21.0,0.0,0.0,0.859000027179718,0.09136,0.21482821
22.0,0.0,0.0,0.8510000109672546,0.09664,0.2649519
23.0,0.0,0.0,0.8539999723434448,0.09507,0.2577837
24.0,0.0,0.0,0.8579999804496765,0.09215,0.21877383
25.0,0.0,0.0,0.8529999852180481,0.09492,0.24378599
26.0,0.0,0.0,0.8579999804496765,0.09221,0.22751589
27.0,0.0,0.0,0.8600000143051147,0.0906,0.20380725
28.0,0.0,0.0,0.8610000014305115,0.0899,0.1991993
29.0,0.0,0.0,0.8610000014305115,0.09034,0.21167904
30.0,0.0,0.0,0.8629999756813049,0.08924,0.19442521
31.0,0.0,0.0,0.8550000190734863,0.09438,0.24726672
32.0,0.0,0.0,0.8529999852180481,0.09513,0.2496741
33.0,0.0,0.0,0.8500000238418579,0.09706,0.26634893
34.0,0.0,0.0,0.8539999723434448,0.0948,0.24814416
35.0,0.0,0.0,0.8560000061988831,0.09354,0.23564734
36.0,0.0,0.0,0.8610000014305115,0.08999,0.19554089
37.0,0.0,0.0,0.8579999804496765,0.09244,0.22875999
38.0,0.0,0.0,0.8479999899864197,0.09921,0.29632446
39.0,0.0,0.0,0.847000002861023,0.10013,0.30538154
40.0,0.0,0.0,0.8479999899864197,0.09955,0.30209556
41.0,0.0,0.0,0.8460000157356262,0.10065,0.3083114
