time,small,large,probability,intensity
0.0,1.0,0.0,0.371,0.52074
1.0,0.0,1.0,0.355,0.5309
2.0,0.0,1.0,0.363,0.53678
3.0,0.0,1.0,0.379,0.54626
4.0,0.0,1.0,0.378,0.54929
5.0,0.0,1.0,0.378,0.5519
6.0,0.0,1.0,0.39,0.55747
7.0,0.0,1.0,0.398,0.56323
8.0,0.0,1.0,0.402,0.56552
9.0,0.0,1.0,0.404,0.5676
10.0,0.0,1.0,0.409,0.57029
11.0,0.0,1.0,0.41,0.57223
12.0,0.0,1.0,0.417,0.57519
13.0,0.0,1.0,0.423,0.57983
14.0,0.0,1.0,0.424,0.58072
15.0,0.0,1.0,0.428,0.58299
16.0,0.0,1.0,0.429,0.58326
17.0,0.0,1.0,0.426,0.58127
18.0,0.0,1.0,0.417,0.57392
19.0,0.0,1.0,0.403,0.56668
20.0,0.0,1.0,0.388,0.55531
21.0,0.0,1.0,0.367,0.54334
22.0,0.0,1.0,0.387,0.55629
23.0,0.0,1.0,0.384,0.55448
24.0,0.0,1.0,0.378,0.54915
25.0,0.0,1.0,0.378,0.54968
26.0,0.0,1.0,0.378,0.5505
27.0,0.0,1.0,0.371,0.54596
28.0,0.0,1.0,0.364,0.54215
29.0,0.0,1.0,0.372,0.54612
30.0,1.0,0.0,0.367,0.53361
31.0,0.0,1.0,0.361,0.53907
32.0,1.0,0.0,0.367,0.53342
33.0,1.0,0.0,0.369,0.53268
34.0,1.0,0.0,0.384,0.5286
35.0,1.0,0.0,0.376,0.52718
36.0,1.0,0.0,0.367,0.53177
37.0,0.0,1.0,0.366,0.53982
38.0,1.0,0.0,0.366,0.51835
39.0,1.0,0.0,0.356,0.52234
40.0,1.0,0.0,0.35,0.52202
41.0,0.0,1.0,0.358,0.52875
42.0,0.0,1.0,0.35,0.52369
43.0,0.0,1.0,0.351,0.5245
44.0,0.0,1.0,0.35,0.5243
45.0,0.0,1.0,0.36,0.52711
46.0,0.0,1.0,0.351,0.52216
47.0,0.0,1.0,0.389,0.5476
48.0,0.0,1.0,0.412,0.56459
49.0,0.0,1.0,0.412,0.56952
50.0,0.0,1.0,0.413,0.57166
51.0,0.0,1.0,0.415,0.57275
52.0,0.0,1.0,0.415,0.57372
53.0,0.0,1.0,0.415,0.57324
54.0,0.0,1.0,0.41,0.56792
55.0,0.0,1.0,0.411,0.5689
56.0,0.0,1.0,0.405,0.56008
57.0,0.0,1.0,0.401,0.55796
58.0,0.0,1.0,0.397,0.55581
59.0,0.0,1.0,0.4,0.55616
60.0,0.0,1.0,0.393,0.55003
61.0,0.0,1.0,0.38,0.54357
62.0,0.0,1.0,0.361,0.53158
63.0,1.0,0.0,0.372,0.51908
64.0,0.0,1.0,0.351,0.52573
65.0,1.0,0.0,0.362,0.52063
66.0,1.0,0.0,0.361,0.52074
67.0,1.0,0.0,0.377,0.51167
68.0,1.0,0.0,0.361,0.51761
69.0,1.0,0.0,0.352,0.51848
70.0,1.0,0.0,0.354,0.51595
71.0,0.0,1.0,0.36,0.53338
72.0,0.0,1.0,0.406,0.56053
73.0,0.0,1.0,0.412,0.56718
74.0,0.0,1.0,0.412,0.57014
75.0,0.0,1.0,0.412,0.57107
76.0,0.0,1.0,0.414,0.57196
77.0,0.0,1.0,0.418,0.57295
78.0,0.0,1.0,0.42,0.57448
79.0,0.0,1.0,0.418,0.57306
80.0,0.0,1.0,0.415,0.57186
81.0,0.0,1.0,0.41,0.5676
