time,small,large,probability,intensity,dissimilarity
0.0,0.0,0.0,0.5339999794960022,0.30117,0.25033498
1.0,1.0,0.0,0.4350000023841858,0.40644,0.77395236
2.0,1.0,0.0,0.4169999957084656,0.38074,0.6430838
3.0,0.0,0.0,0.4239999949932098,0.37179,0.597114
4.0,0.0,0.0,0.4309999942779541,0.36722,0.5740948
5.0,1.0,0.0,0.4180000126361847,0.38115,0.6451169
6.0,1.0,0.0,0.4239999949932098,0.40344,0.7565785
7.0,1.0,0.0,0.4160000085830688,0.39201,0.69862694
8.0,1.0,0.0,0.4099999964237213,0.39104,0.69361603
9.0,0.0,0.0,0.421999990940094,0.3757,0.61638355
10.0,0.0,0.0,0.4469999969005584,0.36084,0.54327047
11.0,0.0,0.0,0.4429999887943268,0.36158,0.5457077
12.0,0.0,0.0,0.4169999957084656,0.37888,0.63249695
13.0,0.0,0.0,0.4300000071525574,0.36968,0.58604044
14.0,0.0,0.0,0.4269999861717224,0.37555,0.6164248
15.0,1.0,0.0,0.4210000038146972,0.38939,0.6863604
16.0,1.0,0.0,0.4090000092983246,0.38923,0.6843486
17.0,0.0,0.0,0.4239999949932098,0.37158,0.596141
18.0,0.0,0.0,0.4160000085830688,0.37999,0.6380616
19.0,1.0,0.0,0.4250000119209289,0.37913,0.6370638
20.0,0.0,0.0,0.4199999868869781,0.3844,0.662386
21.0,0.0,0.0,0.4120000004768371,0.38371,0.65671587
22.0,1.0,0.0,0.4259999990463257,0.40643,0.77174044
23.0,0.0,0.0,0.4180000126361847,0.38046,0.6403606
24.0,1.0,0.0,0.4180000126361847,0.4118,0.7973828
25.0,1.0,0.0,0.421999990940094,0.37663,0.623998
26.0,0.0,0.0,0.4350000023841858,0.36635,0.56927896
27.0,1.0,0.0,0.4320000112056732,0.386,0.6729843
28.0,0.0,0.0,0.421999990940094,0.37344,0.60544205
29.0,1.0,0.0,0.421999990940094,0.3896,0.6876861
30.0,1.0,0.0,0.4160000085830688,0.3803,0.6404385
31.0,0.0,0.0,0.449999988079071,0.35277,0.50066775
32.0,0.0,0.0,0.4329999983310699,0.36739,0.57457095
33.0,1.0,0.0,0.4189999997615814,0.38923,0.68528175
34.0,0.0,0.0,0.4120000004768371,0.38172,0.64709985
35.0,0.0,0.0,0.414000004529953,0.38054,0.6409719
36.0,1.0,0.0,0.4250000119209289,0.40537,0.7664394
37.0,1.0,0.0,0.4410000145435333,0.39753,0.7327239
38.0,1.0,0.0,0.4359999895095825,0.39259,0.706778
39.0,0.0,0.0,0.4169999957084656,0.37517,0.6151312
40.0,0.0,0.0,0.4180000126361847,0.37948,0.6354827
41.0,1.0,0.0,0.4259999990463257,0.38671,0.6744023
42.0,0.0,0.0,0.4280000030994415,0.37302,0.60311484
43.0,0.0,0.0,0.4189999997615814,0.37901,0.633023
44.0,0.0,0.0,0.4329999983310699,0.36254,0.5517808
45.0,0.0,0.0,0.44200000166893,0.35752,0.52524364
46.0,0.0,0.0,0.4569999873638153,0.35026,0.48812762
47.0,1.0,0.0,0.4250000119209289,0.37784,0.6309829
48.0,0.0,0.0,0.4160000085830688,0.37797,0.62842286
49.0,0.0,0.0,0.4050000011920929,0.39353,0.70629925
50.0,0.0,0.0,0.4169999957084656,0.3766,0.6219219
51.0,0.0,0.0,0.4289999902248382,0.36906,0.583052
